Numero de cidades,Custo classico,Caminho classico,Energia quantica,Caminho quantico,Solucao equivalente,tempo de execucao
<<<<<<< HEAD
3,20,0 -> 1 -> 2 -> 0,20.0,0 -> 1 -> 2 -> 0,Sim,0.0032509689990547486
4,23,0 -> 1 -> 2 -> 3 -> 0,23.0,0 -> 1 -> 2 -> 3 -> 0,Sim,0.007505698002205463
=======
4,11,0 -> 1 -> 2 -> 3 -> 0,11.0,0 -> 1 -> 2 -> 3 -> 0,Sim,0.018154759891331196
>>>>>>> 2f929bf (update 05 13 2026 17:56)
