Numero de cidades,Custo classico,Energia quantica,Caminho quantico,tempo_humanizado
4,11,11.0,0 -> 1 -> 2 -> 3 -> 0,18ms
9,17,17.0,0 -> 2 -> 7 -> 1 -> 5 -> 8 -> 4 -> 6 -> 3 -> 0,3sems 20h 1min 35s
