Numero de cidades,Custo classico,Caminho classico,Energia quantica,Caminho quantico,Solucao equivalente,tempo de execucao
4,11,0 -> 1 -> 2 -> 3 -> 0,11.0,0 -> 1 -> 2 -> 3 -> 0,Sim,0.018154759891331196
9,17,0 -> 2 -> 7 -> 1 -> 5 -> 8 -> 4 -> 6 -> 3 -> 0,17.0,0 -> 2 -> 7 -> 1 -> 5 -> 8 -> 4 -> 6 -> 3 -> 0,Sim,1886495.411901515
